analysis,w_target,w_nontarget,control_target,control_nontarget,p_w,p_control,risk_ratio,rr_ci_low,rr_ci_high,risk_difference,rd_ci_low,rd_ci_high,fisher_two_sided_p,classification
primary,7,113,9,231,0.058333333333333334,0.0375,1.5555555555555556,0.5937587598471545,4.075313494393996,0.020833333333333336,-0.04117922263197322,0.09567377702255274,0.41853111355468275,PRIMARY
borderline_inclusive,9,111,12,228,0.075,0.05,1.4999999999999998,0.6501472019898278,3.460754723105311,0.024999999999999994,-0.045391109296650606,0.10757887280514564,0.34781404781276154,SECONDARY_OR_SENSITIVITY
stratum_high,3,37,7,73,0.075,0.0875,0.8571428571428572,0.23402961686779986,3.139320088559727,-0.012499999999999997,-0.14393192931016174,0.15561033346104558,1.0,SECONDARY_OR_SENSITIVITY
stratum_middle,4,36,2,78,0.1,0.025,4.0,0.7648269698709294,20.91976437847128,0.07500000000000001,-0.04706480117317373,0.22363485907225233,0.0945238105915047,SECONDARY_OR_SENSITIVITY
stratum_lower,0,40,0,80,0.0,0.0,,,,0.0,-0.0458181295355271,0.08762160119728664,1.0,SECONDARY_OR_SENSITIVITY
