pass,analysis_level,label,m_n,m_positive,m_rate,control_n,control_positive,control_rate,risk_difference,risk_difference_ci_low,risk_difference_ci_high,fisher_p_greater,fisher_p_two_sided
ai_a,lexeme,human,510,76,0.14901960784313725,510,60,0.11764705882352941,0.03137254901960784,-0.01048599697017695,0.07328057014535921,0.08345238945927158,0.16690477891854316
ai_a,lexeme,person,510,38,0.07450980392156863,510,34,0.06666666666666667,0.00784313725490196,-0.02405318894466428,0.03988179512682805,0.3570302553718188,0.7140605107436376
ai_a,lexeme,people,510,38,0.07450980392156863,510,26,0.050980392156862744,0.023529411764705882,-0.006533812012895025,0.0541268141339296,0.07752538665731416,0.15505077331462833
ai_a,lexeme,identity,510,66,0.12941176470588237,510,38,0.07450980392156863,0.05490196078431374,0.017784474816097046,0.09243958917356826,0.0025047237360992674,0.005009447472198535
ai_a,lexeme,human_attribute,510,117,0.22941176470588234,510,129,0.2529411764705882,-0.023529411764705882,-0.0758839164614159,0.02898339824055892,0.8293177961020517,0.42079043818625833
ai_a,lexeme,uncertain,510,0,0.0,510,0,0.0,0.0,-0.007475961222573534,0.007475961222573534,1.0,1.0
ai_a,evidence_family_representative,human,385,61,0.15844155844155844,475,59,0.12421052631578948,0.03423103212576896,-0.012287465989329067,0.08216715755440607,0.09008789119038178,0.16608817741122694
ai_a,evidence_family_representative,person,385,36,0.09350649350649351,475,34,0.07157894736842105,0.021927546138072462,-0.014845061665181764,0.060664960295474975,0.14829847473388605,0.2603952660476734
ai_a,evidence_family_representative,people,385,25,0.06493506493506493,475,25,0.05263157894736842,0.01230348598769651,-0.019234887116678673,0.045925984172001735,0.26683737715528544,0.466350409754926
ai_a,evidence_family_representative,identity,385,53,0.13766233766233765,475,37,0.07789473684210527,0.059767600820232386,0.01835214190409283,0.10312533081295058,0.0031818061298295843,0.005015986008095591
ai_a,evidence_family_representative,human_attribute,385,79,0.2051948051948052,475,113,0.23789473684210527,-0.03269993164730006,-0.08763337468623875,0.023560866860730494,0.8903506227349458,0.28444551346122393
ai_a,evidence_family_representative,uncertain,385,0,0.0,475,0,0.0,0.0,-0.008022402300241486,0.009879241869796428,1.0,1.0
ai_b,lexeme,human,510,79,0.15490196078431373,510,61,0.11960784313725491,0.03529411764705882,-0.007059252976175323,0.07768451717001859,0.060836476602121395,0.12167295320424279
ai_b,lexeme,person,510,71,0.1392156862745098,510,55,0.10784313725490197,0.03137254901960784,-0.00916115408666382,0.07200292381313037,0.07662838506074025,0.1532567701214805
ai_b,lexeme,people,510,8,0.01568627450980392,510,6,0.011764705882352941,0.00392156862745098,-0.01176922540182087,0.02017654901387312,0.39453776802174717,0.7890755360434943
ai_b,lexeme,identity,510,81,0.1588235294117647,510,61,0.11960784313725491,0.03921568627450979,-0.0033736674263303984,0.08183656102336606,0.04271459725652847,0.08542919451305694
ai_b,lexeme,human_attribute,510,79,0.15490196078431373,510,76,0.14901960784313725,0.0058823529411764774,-0.03832159268373107,0.050081745950512783,0.43078439915828565,0.8615687983165713
ai_b,lexeme,uncertain,510,0,0.0,510,1,0.00196078431372549,-0.00196078431372549,-0.01102200188223837,0.00568753869783973,1.0,1.0
ai_b,evidence_family_representative,human,385,62,0.16103896103896104,475,60,0.12631578947368421,0.03472317156527682,-0.012117948438993706,0.08296109126803436,0.08826651115936174,0.1687626418610617
ai_b,evidence_family_representative,person,385,57,0.14805194805194805,475,54,0.11368421052631579,0.034367737525632255,-0.010670347716232972,0.08092106948642339,0.08214536155209276,0.15223533297512998
ai_b,evidence_family_representative,people,385,5,0.012987012987012988,475,6,0.01263157894736842,0.0003554340396445671,-0.016069453013522413,0.018722490778250184,0.5974849728135623,1.0
ai_b,evidence_family_representative,identity,385,65,0.16883116883116883,475,60,0.12631578947368421,0.04251537935748462,-0.004874434136121195,0.09126298544037707,0.048561344912071015,0.08082192884954331
ai_b,evidence_family_representative,human_attribute,385,58,0.15064935064935064,475,66,0.13894736842105262,0.011701982228298019,-0.03518282654169093,0.05998050850018335,0.34824365600916757,0.6271370568027901
ai_b,evidence_family_representative,uncertain,385,0,0.0,475,1,0.002105263157894737,-0.002105263157894737,-0.011827422721166244,0.007924919606564792,1.0,1.0
